TWEET	EMOJI	LANGUAGE
1044	female sign	fr
1045		fr
1046		fr
1047		fr
1048		fr
1049		fr
1050		fr
1051		fr
1052		fr
1053		fr
1054		fr
1055		fr
1056		fr
1057	loudly crying face	fr
1057	loudly crying face	fr
1057	loudly crying face	fr
1058		fr
1059		fr
1060		fr
1061		fr
1062		fr
1063		fr
1064		fr
1065		fr
1066		fr
1067	flexed biceps	fr
1067	flexed biceps	fr
1068		fr
1069	confused face	fr
1070		fr
1071	nerd face	fr
1072		fr
1073		fr
1074		fr
1075		fr
1076		fr
1077		fr
1078		fr
1079		fr
1080		fr
1081		fr
1082		fr
1083		fr
1084		fr
1085		fr
1086		fr
1087		fr
1088		fr
1089	weary face	fr
1090		fr
1091		fr
1092		fr
1093		fr
1094		fr
1095		fr
1096		fr
1097		fr
1098	upside-down face	fr
1099		fr
1100		fr
1101		fr
1102		fr
1103		fr
1104		fr
1105		fr
1106		fr
1107		fr
1108		fr
1109		fr
1110		fr
1111		fr
1112		fr
1113		fr
1114		fr
1115		fr
1116		fr
1117		fr
1118		fr
1119		fr
1120		fr
1121		fr
1122		fr
1123		fr
1124		fr
1125		fr
1126	leaf fluttering in wind	fr
1127	smiling face with heart-eyes	fr
1127	smiling face with heart-eyes	fr
1127	red heart	fr
1128	oncoming fist	fr
1129		fr
1130		fr
1131		fr
1132		fr
1133		fr
1134		fr
1135		fr
1136		fr
1137	expressionless face	fr
1138		fr
1139		fr
1140		fr
1141		fr
1142		fr
1143		fr
1144		fr
1145		fr
1146		fr
1147		fr
1148		fr
1149		fr
1150		fr
1151		fr
1152		fr
1153		fr
1154		fr
1155		fr
1156		fr
1157		fr
1158		fr
1159		fr
1160	loudly crying face	fr
1160	loudly crying face	fr
1160	loudly crying face	fr
1160	loudly crying face	fr
1160	loudly crying face	fr
1160	loudly crying face	fr
1161		fr
1162	zany face	fr
1162	zany face	fr
1163		fr
1164		fr
1165	loudly crying face	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1166	clapping hands	fr
1167		fr
1168		fr
1169		fr
1170		fr
1171		fr
1172		fr
1173		fr
1174		fr
1175		fr
1176		fr
1177	face with tears of joy	fr
1178		fr
1179		fr
1180		fr
1181		fr
1182		fr
1183		fr
1184		fr
1185		fr
1186		fr
1187		fr
1188		fr
1189		fr
1190		fr
1191	flexed biceps	fr
1192		fr
1193		fr
1194		fr
1195		fr
1196		fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1197	rolling on the floor laughing	fr
1198		fr
1199	person facepalming	fr
1199	female sign	fr
1200		fr
1201	baby	fr
1202		fr
1203		fr
1204		fr
1205		fr
1206		fr
1207	upside-down face	fr
1207	upside-down face	fr
1207	upside-down face	fr
1208		fr
1209		fr
1210		fr
1211	face with tears of joy	fr
1211	face with tears of joy	fr
1211	face with tears of joy	fr
1212		fr
1213		fr
1214	loudly crying face	fr
1214	loudly crying face	fr
1214	loudly crying face	fr
1214	loudly crying face	fr
1215		fr
1216		fr
1217		fr
1218		fr
1219		fr
1220		fr
1221		fr
1222		fr
1223		fr
1224		fr
1225	face with tears of joy	fr
1226		fr
1227		fr
1228	loudly crying face	fr
1228	loudly crying face	fr
1228	loudly crying face	fr
1229		fr
1230		fr
1231		fr
1232		fr
1233		fr
1234		fr
1235	face with tears of joy	fr
1236		fr
1237		fr
1238		fr
1239		fr
1240		fr
1241		fr
1242		fr
1243		fr
1244		fr
1245		fr
1246		fr
1247		fr
1248		fr
1249		fr
1250		fr
1251		fr
1252	OK hand	fr
1253		fr
1254		fr
1255	flexed biceps	fr
1255	relieved face	fr
1255	love-you gesture	fr
1255	folded hands	fr
1256		fr
1257	locked with key	fr
1258		fr
1259		fr
1260		fr
1261		fr
1262	crown	fr
1263		fr
1264		fr
1265		fr
1266		fr
1267		fr
1268		fr
1269		fr
1270	face with tears of joy	fr
1271		fr
1272		fr
1273		fr
1274		fr
1275		fr
1276	loudly crying face	fr
1276	loudly crying face	fr
1276	loudly crying face	fr
1277		fr
1278		fr
1279		fr
1280		fr
1281		fr
1282		fr
1283	loudly crying face	fr
1283	face with tears of joy	fr
1284		fr
1285	weary face	fr
1286		fr
1287		fr
1288		fr
1289		fr
1290		fr
1291	person shrugging	fr
1291	female sign	fr
1292		fr
1293	rose	fr
1294		fr
1295		fr
1296		fr
1297		fr
1298		fr
1299		fr
1300	loudly crying face	fr
1301		fr
1302		fr
1303		fr
1304		fr
1305		fr
1306		fr
1307	loudly crying face	fr
1308		fr
1309		fr
1310		fr
1311		fr
1312		fr
1313		fr
1314		fr
1315		fr
1316	frowning face	fr
1317		fr
1318		fr
1319		fr
1320	loudly crying face	fr
1321		fr
1322		fr
1323		fr
1324		fr
1325		fr
1326	person facepalming	fr
1326	male sign	fr
1326	person facepalming	fr
1326	male sign	fr
1326	person facepalming	fr
1326	male sign	fr
1327		fr
1328		fr
1329		fr
1330		fr
1331	person shrugging	fr
1331	female sign	fr
1331	person shrugging	fr
1331	female sign	fr
1332		fr
1333		fr
1334		fr
1335		fr
1336		fr
1337		fr
1338		fr
1339		fr
1340		fr
1341		fr
1342		fr
1343		fr
1344		fr
1345		fr
1346		fr
1347		fr
1348		fr
1349		fr
1350		fr
1351		fr
1352		fr
1353		fr
1354	face with tears of joy	fr
1355		fr
1356		fr
1357		fr
1358		fr
1359		fr
1360		fr
1361		fr
1362		fr
1363		fr
1364		fr
1365		fr
1366		fr
1367		fr
1368	winking face	fr
1369		fr
1370		fr
1371		fr
1372		fr
1373		fr
1374		fr
1375		fr
1376		fr
1377	loudly crying face	fr
1378		fr
1379		fr
1380		fr
1381		fr
1382		fr
1383		fr
1384	person walking	fr
1384	male sign	fr
1384	dog	fr
1385		fr
1386		fr
1387		fr
1388		fr
1389		fr
1390		fr
1391		fr
1392		fr
1393		fr
1394		fr
1395		fr
1396		fr
1397		fr
1398		fr
1399		fr
1400	thumbs up	fr
1401		fr
1402		fr
1403		fr
1404		fr
1405		fr
1406		fr
1407	loudspeaker	fr
1407	red circle	fr
1408		fr
1409	weary face	fr
1409	folded hands	fr
1410		fr
1411		fr
1412		fr
1413		fr
1414		fr
1415		fr
1416		fr
1417		fr
1418		fr
1419		fr
1420		fr
1421		fr
1422		fr
1423		fr
1424		fr
1425		fr
1426		fr
1427		fr
1428		fr
1429		fr
1430	face with steam from nose	fr
1431		fr
1432		fr
1433		fr
1434		fr
1435		fr
1436		fr
1437		fr
1438		fr
1439		fr
1440		fr
1441		fr
1442	loudly crying face	fr
1443		fr
1444		fr
1445		fr
1446		fr
1447		fr
1448		fr
1449		fr
1450		fr
1451		fr
1452		fr
1453		fr
1454		fr
1455		fr
1456		fr
1457	dizzy face	fr
1458		fr
1459		fr
1460		fr
1461		fr
1462		fr
1463		fr
1464	heart suit	fr
1465	crown	fr
1466		fr
1467		fr
1468		fr
1469		fr
1470		fr
1471		fr
1472		fr
1473		fr
1474	birthday cake	fr
1474	birthday cake	fr
1474	party popper	fr
1474	party popper	fr
1474	party popper	fr
1475		fr
1476		fr
1477		fr
1478	smiling face with heart-eyes	fr
1479		fr
1480		fr
1481		fr
1482		fr
1483		fr
1484		fr
1485		fr
1486	musical note	fr
1487	face with tears of joy	fr
1488		fr
1489		fr
1490	basketball	fr
1490	basketball	fr
1490	basketball	fr
1491		fr
1492		fr
1493	person facepalming	fr
1493	male sign	fr
1494		fr
1495		fr
1496	beaming face with smiling eyes	fr
1496	kissing face	fr
1497		fr
1498		fr
1499		fr
1500	backhand index pointing down	fr
1500	backhand index pointing down	fr
1501	pear	fr
1501	heart with arrow	fr
1502		fr
1503	loudly crying face	fr
1503	loudly crying face	fr
